echo sha,contributor,date,message
555c2397d,Adrien Cassagne,Mon Mar 8 22:18:18 2021 +0100,Add auto stop mechanism to `tools::Sequence` and `tools::Pipeline`.
30b630650,Adrien Cassagne,Tue Feb 23 12:45:44 2021 +0100,CI: temporally disable the Intel compiler build test.
2d488b77f,Adrien Cassagne,Tue Feb 23 10:47:24 2021 +0100,Fix the `tools::Sequence::get_cloned_modules()` implementation.
77877f47b,Adrien Cassagne,Tue Feb 23 09:44:04 2021 +0100,Cosmetics.
7cb7f6713,Adrien Cassagne,Tue Feb 23 09:37:33 2021 +0100,Add a new method in 'tools::Sequence' to get the cloned modules.
a0be52fc5,Adrien Cassagne,Mon Feb 8 21:55:47 2021 +0100,Add a new `tools::Interface_get_trellis` class for RSC encoders.
b394a7eb3,Adrien Cassagne,Fri Jan 29 18:16:42 2021 +0100,Doc: improve the README to compile Doxygen separately from Sphinx.
551240bdd,Adrien Cassagne,Tue Feb 2 09:20:18 2021 +0100,Merge branch 'py_aff3ct_new' into development
107d3e6b5,Adrien Cassagne,Mon Feb 1 11:09:10 2021 +0100,Cosmetics.
3dd91ca43,Romain TAJAN,Sun Jan 31 16:47:18 2021 +0100,Create a new tool fb_assert for replacing  assert_frozen_bits.
d2b1cec23,Romain TAJAN,Sat Jan 30 23:38:39 2021 +0100,Add assert_frozen_bits to Interface_get_set_frozen_bits for checking frozen bits validity.
b3470f07e,Adrien Cassagne,Sun Jan 24 11:39:19 2021 +0100,Fix Galois field related segfault.
14cf9060d,Adrien Cassagne,Sun Jan 24 10:39:24 2021 +0100,Update the current year: 2020 -> 2021.
47bab8f1c,TAJAN Romain,Tue Nov 17 22:39:45 2020 +0100,Add a default template for Source_user_binary.
27188fc61,TAJAN Romain,Tue Nov 17 10:25:07 2020 +0100,Add new Module () and [] operators.
7113bf890,Adrien Cassagne,Thu Jan 21 14:36:27 2021 +0100,Doc: fix the refs to the `-F` parameter.
1a2fd0a0e,Adrien Cassagne,Thu Jan 21 13:05:10 2021 +0100,CI: disable Windows 32-bit build for SSE4.2.
7669e3d64,Adrien Cassagne,Thu Jan 21 11:02:31 2021 +0100,Add a readme for the ABI scripts.
b34a4c6c1,Adrien Cassagne,Thu Jan 21 11:00:11 2021 +0100,Mv ABI scripts.
deff352b7,TAJAN Romain,Fri Nov 20 15:37:37 2020 +0100,Include protected members in the JSON file.
488006845,HE Kun,Fri Nov 29 14:35:32 2019 +0100,update aff3ct.hpp path
f32784279,Olivier Aumage,Thu Jan 9 11:07:59 2020 +0100,fix splitting the inheritence string when some parent classes are multi-parameter templates
9bbdb30fe,Olivier Aumage,Wed Dec 18 16:00:00 2019 +0100,support lists of inherited classes
25c1aa79c,Olivier Aumage,Wed Dec 11 15:56:34 2019 +0100,enhance debug output
8ac155c52,HE Kun,Wed Dec 11 14:52:14 2019 +0100,add realtype attribute for args and output when enum type
3ea5a4c0a,HE Kun,Tue Dec 10 13:47:24 2019 +0100,allow tasks with non-void return types, add debug messages about task detection process
78a73db12,Olivier Aumage,Fri Dec 6 16:21:57 2019 +0100,add support for enum classes
79f5e947f,HE Kun,Fri Nov 29 14:30:35 2019 +0100,check all homonym methods when looking for tasks
3ec3e9e87,HE Kun,Fri Nov 15 15:49:53 2019 +0100,fix processing of tasks with duplicate names
