echo sha,contributor,date,message
5ecb57f,Adrien Cassagne,Tue May 28 08:28:06 2024 +0200,Rename 'devel' in 'develop'...
2e09fe2,Adrien Cassagne,Mon May 27 22:39:49 2024 +0200,Rename 'develop' branch in 'devel'.
e507a02,Adrien Cassagne,Mon May 27 18:06:34 2024 +0200,Add guidelines for compilation, installation and linking.
0faa83d,Adrien Cassagne,Mon May 27 16:39:03 2024 +0200,Add StreamPU version 0.1.0.
1ab4b49,TAJAN Romain,Wed May 22 16:05:34 2024 +0200,Change std::initializer_list to std::vector and inherit from Interface_get_set_n_frames
3b49e23,Adrien Cassagne,Mon May 20 14:53:30 2024 +0200,Fix badges.
b306dac,Adrien Cassagne,Mon May 20 14:19:42 2024 +0200,Shorten 'development' branch in 'develop'.
11eb35c,Adrien Cassagne,Mon May 20 12:00:34 2024 +0200,Typos.
48821ec,Adrien Cassagne,Mon May 20 11:57:45 2024 +0200,Doc: Remove useless palette section.
e46a393,Adrien Cassagne,Mon May 20 11:57:08 2024 +0200,Add a note on the project renaming.
783e87d,Adrien Cassagne,Mon May 20 11:27:54 2024 +0200,CI: Add a new bash script for memchecks.
0dc3dca,Adrien Cassagne,Mon May 20 11:06:41 2024 +0200,Exclude thread pinning test from memchecks.
26a8ea5,Adrien Cassagne,Mon May 20 10:50:36 2024 +0200,Fix memory leak (again).
3281d0e,Adrien Cassagne,Mon May 20 10:31:52 2024 +0200,Fix memory leak.
9d9a6ae,Adrien Cassagne,Mon May 20 09:58:49 2024 +0200,CI: Fix memcheck test.
6169127,Adrien Cassagne,Sat May 18 16:56:57 2024 +0200,Rename 'AFF3CT-core' in 'StreamPU'.
0fdaaf5,YacineIdouar,Wed May 15 10:40:09 2024 +0200,applying clang-format on generic_pipeline
3163283,YacineIdouar,Tue May 14 16:43:29 2024 +0200,add tasks unbind
fa2ff02,YacineIdouar,Tue May 14 14:13:18 2024 +0200,generic with incrementer
f71ffe3,Adrien Cassagne,Mon Apr 1 15:51:38 2024 +0200,Typo.
9894b35,Adrien Cassagne,Mon Apr 1 15:35:52 2024 +0200,CI: Add code format check in GitHub Actions.
a25a196,Adrien Cassagne,Mon Apr 1 15:24:25 2024 +0200,CI: Add a new job to check if code format is correct.
cd4a9f2,Adrien Cassagne,Mon Apr 1 14:00:16 2024 +0200,Apply clang-format to the signal tracer exe.
cf483ee,Adrien Cassagne,Mon Apr 1 13:57:37 2024 +0200,Apply clang-format to the test files.
e7aa760,Adrien Cassagne,Mon Apr 1 13:48:41 2024 +0200,Apply clang-format to source files.
1c11e8f,Adrien Cassagne,Mon Apr 1 13:20:18 2024 +0200,Apply clang-format to header files.
2a2a726,Adrien Cassagne,Mon Apr 1 12:37:31 2024 +0200,Prepare code before applying clang-format.
899a4d2,Adrien Cassagne,Sun Mar 31 19:14:50 2024 +0200,Cosmetics.
47df7d8,Adrien Cassagne,Sun Mar 31 19:03:37 2024 +0200,Refacto probes (part 2).
0f2f73b,Adrien Cassagne,Sun Mar 31 16:09:44 2024 +0200,Refacto probes.
fccb9ab,Adrien Cassagne,Sun Mar 31 13:35:54 2024 +0200,Disable 'module::Switcher' validation code for now.
f2f67cf,Adrien Cassagne,Sat Mar 30 10:37:08 2024 +0100,Merge branch 'development' into ctrl_flow_issue
6d62ec5,Adrien Cassagne,Thu Mar 28 23:39:05 2024 +0100,Doc: Rephrase pinning.
a1b0cee,TAJAN Romain,Tue Mar 26 16:17:36 2024 +0100,Add getter for modules of original_sequence in Pipeline.
07480a0,Adrien Cassagne,Thu Mar 28 16:13:53 2024 +0100,Doc: Improve thread pinning.
cea7ee3,Adrien Cassagne,Thu Mar 28 15:18:46 2024 +0100,Doc: Add OPi5 cores spec.
506f8be,Adrien Cassagne,Thu Mar 28 15:12:34 2024 +0100,Doc: Typos.
0ea86ea,Adrien Cassagne,Thu Mar 28 14:57:59 2024 +0100,Cosmetics.
d991a71,Adrien Cassagne,Thu Mar 28 14:57:35 2024 +0100,Doc: Rework thread pinning.
cd6e525,TAJAN Romain,Thu Mar 28 12:03:04 2024 +0100,Add a nested do-while loop test.
e8a5420,Adrien Cassagne,Wed Mar 27 16:34:55 2024 +0100,Merge branch 'pin_test' of gitlab.lip6.fr:sog/aff3ct-core into pin_test
ab960c1,Adrien Cassagne,Wed Mar 27 16:10:17 2024 +0100,Add a test case with 'n_frames > 1' for 'test-thread-pinning'.
7e33ea4,Adrien Cassagne,Wed Mar 27 16:07:36 2024 +0100,Simplify 'test-thread-pinning'.
0ad5a8c,Adrien Cassagne,Wed Mar 27 16:05:39 2024 +0100,Fix bug in stream cnt.
1897449,YacineIdouar,Wed Mar 27 14:18:32 2024 +0100,generic pipeline with pinning
d77e9fb,YacineIdouar,Wed Mar 27 14:06:57 2024 +0100,generic pipeline with pinning
d3910ec,Adrien Cassagne,Wed Mar 27 09:44:41 2024 +0100,Clean code.
35733e7,Adrien Cassagne,Tue Mar 26 23:44:27 2024 +0100,Merge branch 'development' into pin_test
8a29884,Adrien Cassagne,Tue Mar 26 23:29:37 2024 +0100,Cosmetics.
db72952,Adrien Cassagne,Tue Mar 26 23:25:55 2024 +0100,Improve 'test-pipeline-probe' to monitor the read buffer of bits.
638e2fc,Adrien Cassagne,Tue Mar 26 22:24:14 2024 +0100,Fix Intel compiler warnings.
e399719,Adrien Cassagne,Tue Mar 26 22:18:54 2024 +0100,Refacto & clean code.
373e9ac,Adrien Cassagne,Tue Mar 26 20:18:55 2024 +0100,Fix missing include.
8d4a23a,Adrien Cassagne,Tue Mar 26 20:15:02 2024 +0100,Improve 'module::Probe', 'tools::Reporter_probe' and 'tools::Terminal_dump' combo.
3561e6d,Adrien Cassagne,Tue Mar 26 17:40:07 2024 +0100,Put 'prb_fra_id' and 'prb_stream_id' in the 1st pipeline stage.
b7f7ccd,Adrien Cassagne,Tue Mar 26 17:21:46 2024 +0100,Fix final report in the 'tools::Reporter_probe'.
